Taxon,Genus,Hybrid.marker,Species,Abbrev,Infraspecific.rank,Infraspecific,Authority,ID,Plant.Name.Index,TPL.version,Taxonomic.status,Family,New.Genus,New.Hybrid.marker,New.Species,New.Infraspecific.rank,New.Infraspecific,New.Authority,New.ID,New.Taxonomic.status,Typo,WFormat,Higher.level,Date
Ptilotus marduguru,Ptilotus,,marduguru,NA,NA,,,kew-2408054,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,marduguru,,,Benl,kew-2408054,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus lazaridis,Ptilotus,,lazaridis,NA,NA,,,kew-2408067,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,lazaridis,,,Benl,kew-2408067,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus kenneallyanus,Ptilotus,,kenneallyanus,NA,NA,,,kew-2408328,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,kenneallyanus,,,Benl,kew-2408328,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus johnstonianus,Ptilotus,,johnstonianus,NA,NA,,,kew-2408329,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,johnstonianus,,,W.Fitzg.,kew-2408329,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus halophilus,Ptilotus,,halophilus,NA,NA,,,kew-2408341,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,halophilus,,,R.W.Davis,kew-2408341,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus grandiflorus,Ptilotus,,grandiflorus,NA,NA,,,kew-2408342,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,grandiflorus,,,F.Muell.,kew-2408342,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus gaudichaudii subsp. gaudichaudii,Ptilotus,,gaudichaudii,NA,subsp.,gaudichaudii,,kew-2408345,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,gaudichaudii,,,J.M.Black,kew-2408345,Unresolved,FALSE,FALSE,TRUE,2020-01-06
Ptilotus gardneri,Ptilotus,,gardneri,NA,NA,,,kew-2408347,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,gardneri,,,Benl,kew-2408347,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus falcatus,Ptilotus,,falcatus,NA,NA,,,,FALSE,1.1,,,Ptilotus,,falcatus,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Ptilotus exiliflorus,Ptilotus,,exiliflorus,NA,NA,,,,FALSE,1.1,,,Ptilotus,,exiliflorus,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Ptilotus decalvatus,Ptilotus,,decalvatus,NA,NA,,,kew-2408310,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,decalvatus,,,Benl,kew-2408310,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus daphne,Ptilotus,,daphne,NA,NA,,,kew-2897181,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,daphne,,,Lally,kew-2897181,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus crispus,Ptilotus,,crispus,NA,NA,,,kew-2408312,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,crispus,,,Benl,kew-2408312,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus clivicola,Ptilotus,,clivicola,NA,NA,,,,FALSE,1.1,,,Ptilotus,,clivicola,NA,,,,,FALSE,FALSE,FALSE,2020-01-06
Ptilotus chrysocomus,Ptilotus,,chrysocomus,NA,NA,,,kew-2408317,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,chrysocomus,,,R.W.Davis,kew-2408317,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus chippendalei,Ptilotus,,chippendalei,NA,NA,,,kew-2408319,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,chippendalei,,,Benl,kew-2408319,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus chamaecladus,Ptilotus,,chamaecladus,NA,NA,,,kew-2408320,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,chamaecladus,,,Diels,kew-2408320,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus carinatus,Ptilotus,,carinatus,NA,NA,,,kew-2408351,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,carinatus,,,Benl,kew-2408351,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus capitatus,Ptilotus,,capitatus,NA,NA,,,kew-2408299,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,capitatus,,,C.A.Gardner,kew-2408299,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus blackii,Ptilotus,,blackii,NA,NA,,,kew-2408380,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,blackii,,,Benl,kew-2408380,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus beardii,Ptilotus,,beardii,NA,NA,,,kew-2408382,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,beardii,,,Benl,kew-2408382,Unresolved,FALSE,FALSE,FALSE,2020-01-06
Ptilotus aristatus,Ptilotus,,aristatus,NA,NA,,,kew-2408393,TRUE,1.1,Unresolved,Amaranthaceae,Ptilotus,,aristatus,,,Benl,kew-2408393,Unresolved,FALSE,FALSE,FALSE,2020-01-06
