Clade,PL_point,PL_BSmin,PL_BSmax,UCLN_median,95%HPD_min,95%HPD_max
Rhizophoraceae,79.08,74.31,84.49,72.86,59.3,87.62
Pandaceae,100.76,97.86,103.69,90.66,80.72,99.83
Centroplacaceae,99.32,96.27,102.6,86.86,76.38,97.3
Linaceae,99.32,96.27,102.6,86.86,76.38,97.3
Balanopaceae,86.41,81.85,90.29,81.54,68.81,94.43
Trigoniaceae,65.84,59.9,72.45,51.9,32.66,71.52
Dichapetalaceae,65.84,59.9,72.45,51.9,32.66,71.52
Euphroniaceae,61.28,57.54,67.26,54.52,40.24,72.83
Chrysobalanaceae,61.28,57.54,67.26,54.52,40.24,72.83
Caryocaraceae,102.45,100.12,103.96,94.21,86.24,102.12
Ochnaceae,101.68,99.12,103.22,92.15,83.39,100.73
Peraceae,85.63,80.76,91.5,74.23,59.82,89.21
Euphorbiaceae,85.63,80.76,91.5,74.23,59.82,89.21
